wavelength (nm),intensity (counts)
178.19,30618
178.57,30775
178.95,31028
179.34,30580
179.72,32066
180.1,31630
180.48,32008
180.87,31816
181.25,32505
181.63,32194
182.01,32255
182.4,32505
182.78,31976
183.16,32194
183.54,31752
183.92,32441
184.31,32537
184.69,32476
185.07,32322
185.45,32883
185.84,32095
186.22,32287
186.6,31877
186.98,33290
187.36,32162
187.75,32319
188.13,32755
188.51,32348
188.89,32441
189.27,32194
189.65,32255
190.04,32479
190.42,32226
190.8,32130
191.18,32072
191.56,32537
191.94,32418
192.32,32601
192.71,32351
193.09,32726
193.47,32441
193.85,32037
194.23,32476
194.61,32473
194.99,32386
195.38,31976
195.76,32729
196.14,32918
196.52,32101
196.9,32415
197.28,32662
197.66,33290
198.04,31973
198.42,33360
198.8,32735
199.19,32476
199.57,32252
199.95,32976
200.33,32473
200.71,32360
201.09,32441
201.47,32604
201.85,32508
202.23,32508
202.61,32665
202.99,32418
203.37,33293
203.75,32918
204.13,33546
204.51,32351
204.9,32255
205.28,33110
205.66,33386
206.04,32540
206.42,32607
206.8,32700
207.18,32325
207.56,32668
207.94,32415
208.32,32630
208.7,32921
209.08,33075
209.46,33549
209.84,32633
210.22,32194
210.6,32473
210.98,33139
211.36,33360
211.74,33200
212.12,32290
212.5,32514
212.88,32476
213.26,32226
213.64,32293
214.01,33040
214.39,32415
214.77,33421
215.15,31950
215.53,32351
215.91,33075
216.29,33296
216.67,33514
217.05,32886
217.43,33235
217.81,32508
218.19,33421
218.57,33139
218.95,33232
219.33,33014
219.7,32232
220.08,32796
220.46,32636
220.84,33360
221.22,32947
221.6,32796
221.98,32825
222.36,32668
222.74,32642
223.11,32924
223.49,33700
223.87,33540
224.25,33514
224.63,32883
225.01,33081
225.39,33171
225.77,33482
226.14,33264
226.52,32857
226.9,32703
227.28,31944
227.66,33200
228.04,32825
228.41,32886
228.79,33351
229.17,32700
229.55,32947
229.93,33017
230.31,32886
230.68,32950
231.06,32700
231.44,32636
231.82,33168
232.2,33514
232.57,32421
232.95,32761
233.33,33011
233.71,33264
234.09,33357
234.46,33485
234.84,33546
235.22,33482
235.6,33572
235.97,32889
236.35,33668
236.73,32700
237.11,33261
237.48,33610
237.86,32857
238.24,33229
238.62,33424
238.99,32697
239.37,32889
239.75,33392
240.13,33011
240.5,32758
240.88,33828
241.26,33261
241.63,32479
242.01,33482
242.39,33328
242.77,33075
243.14,34049
243.52,33450
243.9,33831
244.27,33078
244.65,33113
245.03,32889
245.4,32793
245.78,32668
246.16,33238
246.53,32889
246.91,33511
247.29,33886
247.66,33046
248.04,33296
248.42,32918
248.79,33421
249.17,33139
249.55,33136
249.92,33950
250.3,33014
250.68,32950
251.05,33392
251.43,33543
251.8,32636
252.18,33360
252.56,32819
252.93,33386
253.31,32886
253.68,33668
254.06,32540
254.44,33389
254.81,32630
255.19,33572
255.56,31636
255.94,33479
256.32,33357
256.69,32889
257.07,32723
257.44,32322
257.82,32386
258.19,33927
258.57,33107
258.94,33453
259.32,33267
259.7,33261
260.07,33168
260.45,32694
260.82,33921
261.2,32354
261.57,33072
261.95,33767
262.32,32476
262.7,33450
263.07,33075
263.45,32450
263.82,33424
264.2,32825
264.57,33037
264.95,33139
265.32,32537
265.7,33264
266.07,32601
266.45,33229
266.82,33235
267.2,32508
267.57,33453
267.95,33703
268.32,33293
268.7,32950
269.07,32883
269.45,32851
269.82,33447
270.19,32950
270.57,32325
270.94,33078
271.32,32825
271.69,32703
272.07,32912
272.44,34011
272.81,32982
273.19,32729
273.56,33168
273.94,32764
274.31,32633
274.69,32854
275.06,33671
275.43,33139
275.81,32229
276.18,33639
276.56,33075
276.93,32732
277.3,32892
277.68,32825
278.05,33075
278.42,32793
278.8,32290
279.17,33043
279.55,32636
279.92,33697
280.29,33168
280.67,33578
281.04,33328
281.41,32729
281.79,33197
282.16,33421
282.53,32729
282.91,32979
283.28,32665
283.65,33328
284.03,32287
284.4,33014
284.77,32918
285.14,33299
285.52,32976
285.89,32732
286.26,33514
286.64,33482
287.01,33322
287.38,33270
287.76,33575
288.13,34267
288.5,32950
288.87,32886
289.25,33479
289.62,33793
289.99,32889
290.36,33043
290.74,32857
291.11,33104
291.48,32726
291.85,32383
292.23,33229
292.6,33142
292.97,33299
293.34,33854
293.72,32258
294.09,35718
294.46,32703
294.83,33232
295.2,32665
295.58,33165
295.95,32851
296.32,32790
296.69,32668
297.06,32011
297.44,32886
297.81,32886
298.18,33668
298.55,33171
298.92,32854
299.29,32761
299.67,33514
300.04,32575
300.41,32482
300.78,34139
301.15,32979
301.52,33293
301.89,33107
302.27,32636
302.64,32572
303.01,32851
303.38,33232
303.75,32883
304.12,32822
304.49,33136
304.87,32854
305.24,33040
305.61,32915
305.98,32793
306.35,33700
306.72,33578
307.09,32604
307.46,32726
307.83,33587
308.2,32822
308.57,32636
308.95,32514
309.32,32950
309.69,33066
310.06,32296
310.43,33299
310.8,32697
311.17,33822
311.54,32537
311.91,32732
312.28,33136
312.65,32418
313.02,32700
313.39,32950
313.76,32636
314.13,32700
314.5,33732
314.87,32604
315.24,32354
315.61,33139
315.98,32636
316.35,33293
316.72,32889
317.09,33264
317.46,33075
317.83,32726
318.2,33636
318.57,32953
318.94,32296
319.31,33232
319.68,33232
320.05,32915
320.42,32857
320.79,33081
321.16,33110
321.53,33200
321.9,32482
322.27,33075
322.64,32511
323.01,32139
323.38,32636
323.74,32232
324.11,33139
324.48,32857
324.85,33790
325.22,33732
325.59,32386
325.96,33072
326.33,32450
326.7,33354
327.07,33168
327.43,32700
327.8,32357
328.17,33072
328.54,32793
328.91,32200
329.28,32514
329.65,32726
330.02,32950
